자치구,행정동,인구수
종로구,사직동,9253
종로구,삼청동,2469
종로구,부암동,9321
종로구,평창동,17433
종로구,무악동,7906
종로구,교남동,9788
종로구,가회동,3927
종로구,종로1.2.3.4가동,8591
종로구,종로5.6가동,5802
종로구,이화동,7553
종로구,창신1동,5328
종로구,창신2동,8579
종로구,창신3동,6459
종로구,숭인1동,6086
종로구,숭인2동,11029
종로구,청운효자동,11272
종로구,혜화동,19215
중구,소공동,3470
중구,회현동,4994
중구,명동,3355
중구,필동,5176
중구,장충동,5452
중구,광희동,7086
중구,을지로동,3440
중구,신당5동,10460
중구,황학동,13917
중구,중림동,12447
중구,신당동,8850
중구,다산동,13551
중구,약수동,16250
중구,청구동,13094
중구,동화동,10047
용산구,후암동,16367
용산구,용산2가동,10136
용산구,남영동,7283
용산구,원효로1동,17743
용산구,원효로2동,13640
용산구,효창동,10710
용산구,용문동,11324
용산구,이촌1동,25488
용산구,이촌2동,7817
용산구,이태원1동,7727
용산구,이태원2동,10235
용산구,서빙고동,13268
용산구,보광동,8361
용산구,청파동,19374
용산구,한강로동,22675
용산구,한남동,16222
성동구,왕십리2동,16372
성동구,마장동,21984
성동구,사근동,13935
성동구,행당1동,14011
성동구,행당2동,22746
성동구,응봉동,14878
성동구,금호1가동,14714
성동구,금호4가동,14238
성동구,성수1가1동,15641
성동구,성수1가2동,11969
성동구,성수2가1동,14731
성동구,성수2가3동,10042
성동구,송정동,9995
성동구,용답동,13065
성동구,왕십리도선동,26619
성동구,금호2.3가동,21814
성동구,옥수동,25631
광진구,화양동,27754
광진구,군자동,21293
광진구,중곡1동,15587
광진구,중곡2동,20603
광진구,중곡3동,15723
광진구,중곡4동,27836
광진구,능동,11405
광진구,구의1동,23686
광진구,구의2동,26042
광진구,구의3동,27992
광진구,광장동,34128
광진구,자양1동,22694
광진구,자양2동,23896
광진구,자양3동,27443
광진구,자양4동,23225
동대문구,전농1동,33839
동대문구,전농2동,18111
동대문구,답십리1동,28234
동대문구,답십리2동,27556
동대문구,장안1동,37984
동대문구,장안2동,33096
동대문구,회기동,13527
동대문구,휘경1동,16110
동대문구,휘경2동,25308
동대문구,이문1동,21002
동대문구,이문2동,19731
동대문구,청량리동,19130
동대문구,용신동,40411
동대문구,제기동,25180
중랑구,면목2동,23726
중랑구,면목4동,18303
중랑구,면목5동,14520
중랑구,면목7동,21427
중랑구,상봉1동,23024
중랑구,상봉2동,21234
중랑구,중화1동,18621
중랑구,중화2동,24083
중랑구,묵1동,33628
중랑구,묵2동,18293
중랑구,망우3동,15937
중랑구,신내1동,37431
중랑구,신내2동,19536
중랑구,면목본동,33318
중랑구,면목3.8동,24454
중랑구,망우본동,38596
성북구,돈암1동,14169
성북구,돈암2동,23421
성북구,안암동,17178
성북구,보문동,16559
성북구,정릉1동,17883
성북구,정릉2동,22545
성북구,정릉3동,16260
성북구,정릉4동,24476
성북구,길음1동,35628
성북구,길음2동,21517
성북구,월곡1동,25472
성북구,월곡2동,19493
성북구,장위1동,23399
성북구,장위2동,13148
성북구,장위3동,15626
성북구,성북동,16461
성북구,삼선동,22544
성북구,동선동,16052
성북구,종암동,39182
성북구,석관동,34479
강북구,번1동,17058
강북구,번2동,14805
강북구,번3동,16162
강북구,수유1동,20145
강북구,수유2동,20497
강북구,수유3동,23887
강북구,삼양동,23111
강북구,미아동,21398
강북구,송중동,28844
강북구,송천동,24477
강북구,삼각산동,30399
강북구,우이동,19918
강북구,인수동,28977
도봉구,쌍문1동,21012
도봉구,쌍문2동,17861
도봉구,쌍문3동,16529
도봉구,쌍문4동,17985
도봉구,방학1동,27634
도봉구,방학2동,18375
도봉구,방학3동,25954
도봉구,창1동,24014
도봉구,창2동,28125
도봉구,창3동,13058
도봉구,창4동,26455
도봉구,창5동,23843
도봉구,도봉1동,19829
도봉구,도봉2동,26252
노원구,월계1동,21141
노원구,월계2동,25496
노원구,월계3동,28536
노원구,공릉1동,36525
노원구,공릉2동,42315
노원구,하계1동,26583
노원구,하계2동,21023
노원구,중계본동,22786
노원구,중계1동,26376
노원구,중계4동,19134
노원구,상계1동,36674
노원구,상계2동,19123
노원구,상계5동,22834
노원구,상계8동,21668
노원구,상계9동,19463
노원구,상계10동,17996
노원구,중계2.3동,32038
노원구,상계3.4동,27361
노원구,상계6.7동,31286
은평구,녹번동,36106
은평구,불광1동,37606
은평구,불광2동,26838
은평구,갈현1동,14417
은평구,갈현2동,27591
은평구,구산동,31362
은평구,대조동,27736
은평구,응암1동,32686
은평구,응암2동,27429
은평구,응암3동,23692
은평구,신사1동,26429
은평구,신사2동,18961
은평구,증산동,16923
은평구,수색동,21272
은평구,진관동,53829
은평구,역촌동,43932
서대문구,천연동,16731
서대문구,홍제1동,24876
서대문구,홍제2동,13079
서대문구,홍제3동,17653
서대문구,홍은1동,22277
서대문구,홍은2동,29188
서대문구,남가좌1동,16878
서대문구,남가좌2동,30344
서대문구,북가좌1동,17629
서대문구,북가좌2동,30638
서대문구,충현동,19988
서대문구,북아현동,15762
서대문구,신촌동,27618
서대문구,연희동,37088
마포구,용강동,21703
마포구,대흥동,16254
마포구,염리동,17721
마포구,신수동,22596
마포구,서교동,26073
마포구,합정동,16481
마포구,망원1동,19212
마포구,망원2동,17879
마포구,연남동,15041
마포구,성산1동,18858
마포구,성산2동,38991
마포구,상암동,30326
마포구,도화동,20905
마포구,서강동,25318
마포구,공덕동,36878
마포구,아현동,29638
양천구,목1동,30299
양천구,목2동,28766
양천구,목3동,21234
양천구,목4동,24332
양천구,목5동,40773
양천구,신월1동,19359
양천구,신월2동,20894
양천구,신월3동,14317
양천구,신월4동,17300
양천구,신월5동,14091
양천구,신월6동,13771
양천구,신월7동,18536
양천구,신정1동,19753
양천구,신정2동,18684
양천구,신정3동,49245
양천구,신정4동,32270
양천구,신정6동,23948
양천구,신정7동,28295
강서구,염창동,41431
강서구,등촌1동,25313
강서구,등촌2동,19310
강서구,등촌3동,29305
강서구,화곡본동,32884
강서구,화곡1동,51092
강서구,화곡2동,17139
강서구,화곡3동,21054
강서구,화곡4동,19630
강서구,화곡6동,26079
강서구,화곡8동,23264
강서구,가양1동,33971
강서구,가양2동,13295
강서구,가양3동,13913
강서구,발산1동,35583
강서구,공항동,30001
강서구,방화1동,41762
강서구,방화2동,22803
강서구,방화3동,21868
강서구,우장산동,43818
구로구,신도림동,36336
구로구,구로1동,20660
구로구,구로2동,28662
구로구,구로3동,24781
구로구,구로4동,22142
구로구,구로5동,31735
구로구,고척1동,26870
구로구,고척2동,25973
구로구,개봉1동,33721
구로구,개봉2동,29856
구로구,개봉3동,19782
구로구,오류1동,23295
구로구,오류2동,36930
구로구,수궁동,22942
구로구,가리봉동,12359
구로구,항동,16397
금천구,가산동,27365
금천구,독산1동,49085
금천구,독산2동,18768
금천구,독산3동,26392
금천구,독산4동,15889
금천구,시흥1동,33380
금천구,시흥2동,20404
금천구,시흥3동,10361
금천구,시흥4동,19586
금천구,시흥5동,18347
영등포구,여의동,34136
영등포구,당산1동,21576
영등포구,당산2동,36898
영등포구,양평1동,18524
영등포구,양평2동,23017
영등포구,신길1동,20531
영등포구,신길3동,16888
영등포구,신길4동,12668
영등포구,신길5동,10622
영등포구,신길6동,18095
영등포구,신길7동,19938
영등포구,대림1동,16036
영등포구,대림2동,17449
영등포구,대림3동,24757
영등포구,영등포본동,22419
영등포구,영등포동,32213
영등포구,도림동,19622
영등포구,문래동,32125
동작구,노량진1동,33629
동작구,노량진2동,9072
동작구,상도1동,46186
동작구,상도2동,27724
동작구,상도3동,24151
동작구,상도4동,29015
동작구,사당1동,22834
동작구,사당2동,28260
동작구,사당3동,23835
동작구,사당4동,13885
동작구,사당5동,14172
동작구,대방동,35781
동작구,신대방1동,24964
동작구,신대방2동,22167
동작구,흑석동,32117
관악구,남현동,17776
관악구,보라매동,23978
관악구,청림동,14741
관악구,행운동,29361
관악구,낙성대동,18133
관악구,중앙동,15623
관악구,인헌동,25540
관악구,서원동,23963
관악구,신원동,18362
관악구,서림동,24666
관악구,신사동,24450
관악구,신림동,24024
관악구,난향동,14788
관악구,조원동,21077
관악구,대학동,27374
관악구,은천동,32502
관악구,성현동,28258
관악구,청룡동,37099
관악구,난곡동,25361
관악구,삼성동,19739
관악구,미성동,29654
서초구,서초1동,20460
서초구,서초2동,25170
서초구,서초3동,32480
서초구,서초4동,30567
서초구,잠원동,26967
서초구,반포본동,237
서초구,반포1동,34217
서초구,반포2동,25429
서초구,반포3동,23947
서초구,반포4동,19322
서초구,방배본동,20233
서초구,방배1동,16572
서초구,방배2동,18081
서초구,방배3동,15919
서초구,방배4동,23003
서초구,양재1동,41621
서초구,양재2동,21399
서초구,내곡동,16987
강남구,신사동,15547
강남구,논현1동,21501
강남구,논현2동,20622
강남구,삼성1동,12346
강남구,삼성2동,30878
강남구,대치1동,24002
강남구,대치2동,38566
강남구,대치4동,18896
강남구,역삼1동,35616
강남구,역삼2동,36702
강남구,도곡1동,20692
강남구,도곡2동,32478
강남구,개포1동,26148
강남구,개포2동,42306
강남구,개포3동,16788
강남구,개포4동,23303
강남구,일원본동,22668
강남구,일원1동,14507
강남구,수서동,13830
강남구,세곡동,46631
강남구,압구정동,25662
강남구,청담동,24591
송파구,풍납1동,12017
송파구,풍납2동,23441
송파구,거여1동,11912
송파구,거여2동,23487
송파구,마천1동,17610
송파구,마천2동,17378
송파구,방이1동,15188
송파구,방이2동,26901
송파구,오륜동,17712
송파구,오금동,38295
송파구,송파1동,23514
송파구,송파2동,18767
송파구,석촌동,31075
송파구,삼전동,29142
송파구,가락본동,25183
송파구,가락1동,27646
송파구,가락2동,31079
송파구,문정1동,19937
송파구,문정2동,28997
송파구,장지동,29076
송파구,잠실본동,28235
송파구,잠실2동,34975
송파구,잠실3동,33941
송파구,잠실4동,21173
송파구,잠실6동,16680
송파구,잠실7동,9405
송파구,위례동,45225
강동구,명일1동,25139
강동구,명일2동,16915
강동구,고덕1동,23970
강동구,고덕2동,25607
강동구,암사1동,33640
강동구,암사2동,14722
강동구,암사3동,17180
강동구,천호1동,25931
강동구,천호2동,33094
강동구,천호3동,26893
강동구,성내1동,19456
강동구,성내2동,24546
강동구,성내3동,22478
강동구,둔촌1동,60
강동구,둔촌2동,24123
강동구,길동,47771
강동구,강일동,34868
강동구,상일제1동,39470
강동구,상일제2동,13601
